0,1928,43.81%,3.08%,0.84%
0.01124,1929,-8.30%,3.16%,4.20%
0.02247,1930,-25.12%,4.55%,4.54%
0.03371,1931,-43.84%,2.31%,-2.56%
0.04494,1932,-8.64%,1.07%,8.79%
0.05618,1933,49.98%,0.96%,1.86%
0.06742,1934,-1.19%,0.32%,7.96%
0.07865,1935,46.74%,0.18%,4.47%
0.08989,1936,31.94%,0.17%,5.02%
0.10112,1937,-35.34%,0.30%,1.38%
0.11236,1938,29.28%,0.08%,4.21%
0.1236,1939,-1.10%,0.04%,4.41%
0.13483,1940,-10.67%,0.03%,5.40%
0.14607,1941,-12.77%,0.08%,-2.02%
0.1573,1942,19.17%,0.34%,2.29%
0.16854,1943,25.06%,0.38%,2.49%
0.17978,1944,19.03%,0.38%,2.58%
0.19101,1945,35.82%,0.38%,3.80%
0.20225,1946,-8.43%,0.38%,3.13%
0.21348,1947,5.20%,0.57%,0.92%
0.22472,1948,5.70%,1.02%,1.95%
0.23596,1949,18.30%,1.10%,4.66%
0.24719,1950,30.81%,1.17%,0.43%
0.25843,1951,23.68%,1.48%,-0.30%
0.26966,1952,18.15%,1.67%,2.27%
0.2809,1953,-1.21%,1.89%,4.14%
0.29213,1954,52.56%,0.96%,3.29%
0.30337,1955,32.60%,1.66%,-1.34%
0.31461,1956,7.44%,2.56%,-2.26%
0.32584,1957,-10.46%,3.23%,6.80%
0.33708,1958,43.72%,1.78%,-2.10%
0.34831,1959,12.06%,3.26%,-2.65%
0.35955,1960,0.34%,3.05%,11.64%
0.37079,1961,26.64%,2.27%,2.06%
0.38202,1962,-8.81%,2.78%,5.69%
0.39326,1963,22.61%,3.11%,1.68%
0.40449,1964,16.42%,3.51%,3.73%
0.41573,1965,12.40%,3.90%,0.72%
0.42697,1966,-9.97%,4.84%,2.91%
0.4382,1967,23.80%,4.33%,-1.58%
0.44944,1968,10.81%,5.26%,3.27%
0.46067,1969,-8.24%,6.56%,-5.01%
0.47191,1970,3.56%,6.69%,16.75%
0.48315,1971,14.22%,4.54%,9.79%
0.49438,1972,18.76%,3.95%,2.82%
0.50562,1973,-14.31%,6.73%,3.66%
0.51685,1974,-25.90%,7.78%,1.99%
0.52809,1975,37.00%,5.99%,3.61%
0.53933,1976,23.83%,4.97%,15.98%
0.55056,1977,-6.98%,5.13%,1.29%
0.5618,1978,6.51%,6.93%,-0.78%
0.57303,1979,18.52%,9.94%,0.67%
0.58427,1980,31.74%,11.22%,-2.99%
0.59551,1981,-4.70%,14.30%,8.20%
0.60674,1982,20.42%,11.01%,32.81%
0.61798,1983,22.34%,8.45%,3.20%
0.62921,1984,6.15%,9.61%,13.73%
0.64045,1985,31.24%,7.49%,25.71%
0.65169,1986,18.49%,6.04%,24.28%
0.66292,1987,5.81%,5.72%,-4.96%
0.67416,1988,16.54%,6.45%,8.22%
0.68539,1989,31.48%,8.11%,17.69%
0.69663,1990,-3.06%,7.55%,6.24%
0.70787,1991,30.23%,5.61%,15.00%
0.7191,1992,7.49%,3.41%,9.36%
0.73034,1993,9.97%,2.98%,14.21%
0.74157,1994,1.33%,3.99%,-8.04%
0.75281,1995,37.20%,5.52%,23.48%
0.76404,1996,22.68%,5.02%,1.43%
0.77528,1997,33.10%,5.05%,9.94%
0.78652,1998,28.34%,4.73%,14.92%
0.79775,1999,20.89%,4.51%,-8.25%
0.80899,2000,-9.03%,5.76%,16.66%
0.82022,2001,-11.85%,3.67%,5.57%
0.83146,2002,-21.97%,1.66%,15.12%
0.8427,2003,28.36%,1.03%,0.38%
0.85393,2004,10.74%,1.23%,4.49%
0.86517,2005,4.83%,3.01%,2.87%
0.8764,2006,15.61%,4.68%,1.96%
0.88764,2007,5.48%,4.64%,10.21%
0.89888,2008,-36.55%,1.59%,20.10%
0.91011,2009,25.94%,0.14%,-11.12%
0.92135,2010,14.82%,0.13%,8.46%
0.93258,2011,2.10%,0.03%,16.04%
0.94382,2012,15.89%,0.05%,2.97%
0.95506,2013,32.15%,0.07%,-9.10%
0.96629,2014,13.52%,0.05%,10.75%
0.97753,2015,1.38%,0.21%,1.28%
0.98876,2016,11.74%,0.51%,0.69%
